"Block Group","Census Tract","County","State","total_population","total_hous_units","total_occ_hous_units","total_vac_hous_units","total_own_occ_units","total_rent_occ_units","total_for_rent_units","total_rented_non_occ","total_for_sale_units","total_sold_non_occ_units","med_rent_over_income","owner_hous_val_25th_per","owner_hous_val_50th_per","owner_hous_val_75th_per","med_owner_cost_mortg","med_owner_cost_no_mortg","med_cost_over_income_mortg","med_cost_over_income_no_mortg","med_hous_cost","med_fam_income","med_non_fam_income","med_rent_0_bed","med_rent_1_bed","med_rent_2_bed","med_rent_3_bed","med_rent_4_bed","med_rent_5_plus_bed","med_rent","tot_white","tot_black","tot_native","tot_asian","tot_pacific","tot_other","tot_two_plus","median_age","median_male_age","median_female_age","tot_households","family_households","family_married_households","family_other_households","non_family_households","non_family_households_alone","non_family_households_not_alone","two_person_family","three_person_family","four_person_family","five_person_family","six_person_family","seven_plus_person_family","one_person_nonfamily","two_person_nonfamily","three_person_nonfamily","four_person_nonfamily","five_person_nonfamily","six_person_nonfamily","seven_plus_person_nonfamily","labor_force","civilian_labor_force","civilian_labor_force_employ","civilian_labor_force_unemploy","military_labor_force","non_labor_force","agg_income_deficit","agg_income_deficit_married","agg_income_deficit_nonmarried","agg_income_deficit_no_wife","agg_income_deficit_no_husband","median_household_income","median_hh_income_own","median_hh_income_rent","no_schooling_completed","nursery_school","kindergarten","first_grade","second_grade","third_grade","fourth_grade","fifth_grade","sixth_grade","seventh_grade","eigth_grade","ninth_grade","tenth_grade","eleventh_grade","twelfth_grade_no_diploma","regular_high_school_diploma","ged_or_alternative_credential","some_college_less_than_1_year","some_college_1_or_more_years_no_degree","associates_degree","bachelors_degree","masters_degree","professional_school_degree","doctorate_degree","commute_car_truck_or_van","commute_drove_alone","commute_carpooled","commute_in_2_person_carpool","commute_in_3_person_carpool","commute_in_4_person_carpool","commute_in_5_or_6_person_carpool","commute_in_7_or_more_person_carpool","commute_public_transportation_excluding_taxicab","commute_bus_or_trolley_bus","commute_streetcar_or_trolley_car","commute_subway_or_elevated","commute_railroad","commute_ferryboat","commute_taxicab","commute_motorcycle","commute_bicycle","commute_walked","commute_other_means","commute_worked_at_home","hh_income_less_than_10000","hh_income_10000_to_14999","hh_income_15000_to_19999","hh_income_20000_to_24999","hh_income_25000_to_29999","hh_income_30000_to_34999","hh_income_35000_to_39999","hh_income_40000_to_44999","hh_income_45000_to_49999","hh_income_50000_to_59999","hh_income_60000_to_74999","hh_income_75000_to_99999","hh_income_100000_to_124999","hh_income_125000_to_149999","hh_income_150000_to_199999","hh_income_200_000_or_more","workers_no_vehicle_available","workers_1_vehicle_available","workers_2_vehicles_available","workers_3_vehicles_available","workers_4_vehicles_available","workers_5_plus_vehicles_available"
"Block Group 2","Census Tract 102","St. Joseph County","Indiana",622,338,298,40,146,152,0,0,0,0,38.3,NA,77200,85900,713,438,23.2,16.1,NA,37768,23466,NA,NA,NA,NA,NA,NA,448,501,100,0,15,0,0,6,40.5,33.8,40.9,298,96,23,73,202,174,28,32,8,0,56,0,0,174,28,0,0,0,0,0,258,258,258,0,0,213,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,25,0,13,16,0,161,0,37,88,44,44,0,0,0,244,235,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,56,16,58,28,47,28,0,0,39,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 5","Census Tract 102","St. Joseph County","Indiana",1496,754,709,45,538,171,0,0,34,0,43.2,65300,78600,117900,851,299,18.4,11.7,NA,59489,NA,NA,NA,NA,NA,NA,NA,760,1398,86,0,0,0,0,12,43,36.8,48.6,709,308,240,68,401,348,53,137,85,31,19,36,0,348,53,0,0,0,0,0,784,784,703,81,0,456,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,18,0,0,0,102,17,41,16,423,26,47,146,104,92,35,0,0,703,620,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,14,132,44,14,0,0,79,43,148,83,107,14,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 102","St. Joseph County","Indiana",765,393,293,100,217,76,64,0,36,0,28.8,52900,80900,88200,866,NA,38,NA,NA,62683,22167,NA,NA,NA,NA,NA,NA,563,751,0,0,0,0,0,14,42.8,49.3,38.8,293,171,88,83,122,91,31,36,82,42,11,0,0,91,31,0,0,0,0,0,420,420,420,0,0,216,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,14,13,76,0,0,194,26,11,132,84,74,0,0,0,310,292,18,18,0,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,31,10,35,15,45,33,14,0,19,0,75,16,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 102","St. Joseph County","Indiana",1210,611,531,80,326,205,0,0,0,37,26,62800,72600,88300,691,412,17.8,12.7,NA,56157,22134,NA,NA,NA,NA,NA,NA,642,1210,0,0,0,0,0,0,36.4,33.5,38.5,531,207,172,35,324,291,33,58,73,40,0,13,23,291,33,0,0,0,0,0,563,563,514,49,0,307,NA,NA,NA,NA,NA,NA,NA,NA,0,0,14,0,0,0,0,0,0,0,0,0,74,68,56,286,57,85,74,49,54,27,11,0,474,450,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,30,80,92,0,13,0,87,34,83,23,70,0,14,5,0,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 121","St. Joseph County","Indiana",935,364,318,46,229,89,0,0,21,0,17.5,169000,214500,348600,1296,360,21.9,18.8,NA,66500,55326,NA,NA,NA,NA,NA,NA,775,935,0,0,0,0,0,0,41.6,34.9,45.1,318,252,241,11,66,39,27,96,57,82,9,8,0,39,4,23,0,0,0,0,418,418,418,0,0,306,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,18,4,0,16,0,214,74,73,90,47,59,16,0,0,411,403,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,10,2,11,23,10,0,83,41,27,53,17,8,9,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 121","St. Joseph County","Indiana",969,409,385,24,167,218,8,0,8,8,32.9,68300,87400,119200,918,360,18.1,13.3,NA,28125,18587,NA,NA,NA,NA,NA,NA,408,949,0,0,5,0,3,12,27.5,17.5,29.2,385,261,138,123,124,124,0,136,43,40,21,12,9,124,0,0,0,0,0,0,348,348,327,21,0,282,1080300,NA,1080300,NA,1080300,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,16,0,20,7,3,184,54,38,98,52,40,16,0,0,317,264,53,46,7,0,0,0,3,3,0,0,0,0,0,0,0,3,0,4,111,31,55,17,32,7,3,15,10,16,34,35,12,0,3,4,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 121","St. Joseph County","Indiana",641,314,287,27,265,22,0,0,8,0,36.1,81600,89500,117300,873,368,17.3,11.2,NA,65833,31397,NA,NA,NA,NA,NA,NA,644,641,0,0,0,0,0,0,39.4,38.7,41.3,287,144,128,16,143,137,6,52,47,19,13,13,0,137,3,0,3,0,0,0,266,266,258,8,0,218,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,21,7,8,11,189,3,17,27,69,85,12,3,3,236,200,36,28,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,11,16,29,16,30,0,15,13,57,24,46,20,0,3,7,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 121","St. Joseph County","Indiana",1290,525,501,24,420,81,0,0,0,0,50,93300,175500,224500,1196,475,19.9,10,NA,75096,41000,NA,NA,NA,NA,NA,NA,1084,1261,0,0,3,0,26,0,41.5,40.4,41.8,501,393,283,110,108,92,16,210,69,86,25,0,3,92,16,0,0,0,0,0,743,717,700,17,26,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,234,33,73,153,111,161,46,0,3,604,600,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,88,26,0,43,44,10,0,18,27,33,33,52,87,47,38,40,3,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 31","St. Joseph County","Indiana",1329,430,285,145,142,143,52,0,0,0,40.5,34600,74400,NA,1125,273,17.5,10,NA,57061,NA,NA,NA,NA,NA,NA,NA,720,1167,50,0,69,0,43,0,23.3,25.2,21.9,285,131,112,19,154,94,60,20,46,65,0,0,0,94,0,60,0,0,0,0,711,711,651,60,0,478,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,280,33,55,75,44,102,18,0,0,480,471,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,11,59,23,0,11,0,11,0,35,35,24,48,28,11,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 31","St. Joseph County","Indiana",431,228,228,0,158,70,0,0,0,0,32.1,28600,33200,51400,594,341,16.7,14.1,NA,38750,42639,NA,NA,NA,NA,NA,NA,936,185,98,10,62,0,49,27,38.2,38.7,34,228,89,54,35,139,125,14,29,36,13,11,0,0,125,14,0,0,0,0,0,260,260,246,14,0,85,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,42,11,12,66,37,36,0,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,11,22,0,0,34,0,56,9,2,21,0,48,25,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 5","Census Tract 31","St. Joseph County","Indiana",595,323,259,64,158,101,0,0,0,0,41.2,37900,53600,65200,705,NA,18.1,NA,NA,40197,19048,NA,NA,NA,NA,NA,NA,707,582,0,0,0,0,13,0,45,24.4,45.9,259,173,83,90,86,86,0,77,73,17,6,0,0,86,0,0,0,0,0,0,359,359,318,41,0,149,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,100,45,45,38,62,48,10,0,0,309,278,31,31,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,10,11,74,10,10,0,43,26,0,19,39,0,6,0,11,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 31","St. Joseph County","Indiana",723,390,248,142,134,114,73,0,0,0,44.1,36300,55900,86600,832,302,14.5,10,NA,19738,33594,NA,NA,NA,NA,NA,NA,772,460,147,0,56,0,60,0,34.2,34.9,29.8,248,195,60,135,53,27,26,79,100,10,6,0,0,27,26,0,0,0,0,0,358,358,306,52,0,203,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,19,0,0,36,0,37,20,195,78,11,21,9,0,7,0,13,293,255,38,38,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,33,71,30,17,8,0,3,13,19,36,7,1,10,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 31","St. Joseph County","Indiana",799,290,230,60,94,136,60,0,0,0,40.8,31300,36400,47000,824,249,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,413,315,0,35,0,0,36,30.6,18.8,35.5,230,207,58,149,23,12,11,27,114,57,9,0,0,12,11,0,0,0,0,0,404,404,298,106,0,143,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,12,41,0,127,59,6,84,54,42,19,0,18,289,255,34,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,37,0,0,19,38,15,0,0,5,9,53,0,20,0,0,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 113.03","St. Joseph County","Indiana",978,346,346,0,251,95,0,0,0,0,24.2,87200,99500,158500,975,273,14.4,10,NA,44872,NA,NA,NA,NA,NA,NA,NA,792,813,147,0,0,0,0,18,48.5,42.2,49.5,346,315,303,12,31,17,14,181,88,9,21,16,0,17,14,0,0,0,0,0,391,391,391,0,0,377,NA,NA,NA,NA,NA,NA,NA,NA,32,0,0,0,0,7,0,0,0,0,0,0,15,0,0,176,48,65,91,164,60,85,0,0,391,334,57,51,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,40,22,88,15,2,30,46,30,15,14,16,NA,NA,NA,NA,NA,NA
"Block Group 5","Census Tract 113.03","St. Joseph County","Indiana",840,292,276,16,238,38,0,0,0,0,NA,86400,112100,136600,865,238,18.4,10,NA,64778,27212,NA,NA,NA,NA,NA,NA,NA,805,14,0,16,0,0,5,48.6,45.8,49.8,276,210,210,0,66,53,13,136,14,48,12,0,0,53,0,13,0,0,0,0,401,401,340,61,0,303,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,0,0,0,0,0,0,21,0,0,4,9,248,56,12,143,91,68,0,0,0,324,315,9,0,9,0,0,0,6,6,0,0,0,0,10,0,0,0,0,0,0,10,0,0,26,16,17,0,0,17,102,73,0,14,1,0,NA,NA,NA,NA,NA,NA
"Block Group 6","Census Tract 113.03","St. Joseph County","Indiana",1575,734,684,50,409,275,0,0,0,0,27.8,92800,135300,159100,880,333,18.5,10,NA,66111,NA,NA,NA,NA,NA,NA,NA,774,1153,405,17,0,0,0,0,36,35.9,40.3,684,394,334,60,290,247,43,152,76,142,24,0,0,247,43,0,0,0,0,0,703,703,686,17,0,611,NA,NA,NA,NA,NA,NA,NA,NA,16,0,0,0,0,0,0,0,0,0,0,9,42,113,29,324,0,59,114,147,166,33,0,15,629,581,48,48,0,0,0,0,19,19,0,0,0,0,0,0,0,21,17,0,148,19,36,43,15,16,40,18,17,87,48,165,15,0,0,17,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 113.03","St. Joseph County","Indiana",694,273,273,0,257,16,0,0,0,0,NA,89800,96400,115000,1072,181,23.1,10,NA,69702,42000,NA,NA,NA,NA,NA,NA,NA,621,0,0,0,0,53,20,36.9,41.3,36.5,273,147,116,31,126,90,36,34,68,45,0,0,0,90,36,0,0,0,0,0,464,464,458,6,0,134,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,27,0,0,0,0,0,53,0,30,94,0,36,90,15,138,21,16,0,397,371,26,0,26,0,0,0,16,16,0,0,0,0,0,0,0,0,26,19,0,0,0,18,39,0,14,15,15,55,54,29,19,0,15,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 113.03","St. Joseph County","Indiana",549,231,231,0,160,71,0,0,0,0,NA,69300,84700,116300,828,287,17.3,11.3,NA,75234,32308,NA,NA,NA,NA,NA,NA,NA,529,0,0,0,0,20,0,35,16.8,40.8,231,129,72,57,102,102,0,46,0,83,0,0,0,102,0,0,0,0,0,0,279,279,279,0,0,150,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,138,35,40,43,0,0,25,0,0,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,23,13,16,18,53,16,0,53,9,0,4,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 113.03","St. Joseph County","Indiana",1273,643,513,130,458,55,0,0,0,0,15.3,68700,106300,121300,782,311,23.4,10,NA,49286,NA,NA,NA,NA,NA,NA,NA,740,1102,148,0,23,0,0,0,51.6,51.3,52.1,513,360,244,116,153,115,38,216,68,54,12,10,0,115,28,0,10,0,0,0,708,708,621,87,0,448,NA,NA,NA,NA,NA,NA,NA,NA,16,0,0,0,0,0,0,0,0,0,0,0,25,65,11,425,6,95,37,102,64,85,0,0,621,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,22,13,12,0,0,24,49,55,66,51,24,45,16,14,16,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 122","St. Joseph County","Indiana",1003,399,368,31,267,101,11,0,0,0,28.5,70400,97000,142200,882,363,17.3,12.9,NA,66786,21875,NA,NA,NA,NA,NA,NA,687,979,0,0,0,0,15,9,34.9,36.3,34.6,368,230,201,29,138,135,3,97,24,41,51,5,12,135,0,3,0,0,0,0,534,534,441,93,0,238,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,4,7,25,37,2,164,70,37,115,83,45,18,3,8,376,328,48,45,3,0,0,0,0,0,0,0,0,0,0,9,4,24,28,0,15,31,31,7,21,20,19,32,12,20,63,54,27,12,4,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 122","St. Joseph County","Indiana",1202,482,451,31,418,33,0,0,0,0,NA,89400,135000,211600,1035,383,21.2,14.1,NA,66953,30250,NA,NA,NA,NA,NA,NA,NA,1193,9,0,0,0,0,0,44.8,45.1,44.7,451,331,275,56,120,120,0,192,24,82,16,8,9,120,0,0,0,0,0,0,618,618,600,18,0,328,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,0,0,0,0,2,0,0,10,26,28,1,12,319,39,49,126,81,96,24,6,0,488,462,26,26,0,0,0,0,0,0,0,0,0,0,0,12,0,19,38,3,16,9,49,34,10,39,12,53,12,39,20,68,39,10,38,3,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 122","St. Joseph County","Indiana",881,421,398,23,270,128,0,0,0,10,24.1,74100,88000,113800,920,341,21,10,NA,54688,23289,NA,NA,NA,NA,NA,NA,597,873,0,8,0,0,0,0,41.1,40.1,42.3,398,240,145,95,158,158,0,116,82,36,0,3,3,158,0,0,0,0,0,0,480,480,453,27,0,227,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,3,0,2,0,3,4,17,8,6,218,34,57,105,40,40,40,0,3,408,377,31,31,0,0,0,0,5,5,0,0,0,0,0,0,0,23,3,14,24,35,45,33,19,18,16,40,15,22,48,26,24,33,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 10","St. Joseph County","Indiana",471,266,176,90,30,146,11,0,0,0,24.9,31500,33000,34500,NA,192,NA,17.8,NA,16058,34931,NA,NA,NA,NA,NA,NA,904,363,43,0,8,0,26,31,24.7,23.1,25.1,176,25,5,20,151,79,72,0,18,7,0,0,0,79,38,8,19,0,7,0,266,266,266,0,0,164,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,32,15,13,13,66,29,13,8,30,134,134,0,0,0,0,0,0,50,50,0,0,0,0,0,0,8,56,0,18,14,31,13,7,7,24,0,5,8,54,0,13,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 10","St. Joseph County","Indiana",581,416,245,171,133,112,0,30,0,0,26.8,71900,106300,260900,1048,291,19.4,10,NA,118393,42143,NA,NA,NA,NA,NA,NA,913,422,124,0,26,0,9,0,28.9,23.6,58.5,245,103,71,32,142,102,40,66,16,8,0,13,0,102,26,14,0,0,0,0,356,356,349,7,0,162,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4,25,3,13,44,0,0,44,31,94,46,23,11,236,218,18,15,0,3,0,0,0,0,0,0,0,0,0,0,43,57,0,13,37,0,8,9,0,26,9,13,20,10,33,12,13,9,23,23,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 10","St. Joseph County","Indiana",693,386,209,177,113,96,28,0,0,0,28.6,38700,77700,111300,944,357,35.3,21.4,NA,30144,18500,NA,NA,NA,NA,NA,NA,825,286,246,79,8,0,67,7,19.8,18.4,20,209,123,64,59,86,63,23,32,34,26,23,8,0,63,17,6,0,0,0,0,271,271,228,43,0,171,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8,10,0,0,9,19,7,25,55,44,33,31,17,14,6,0,0,199,145,54,54,0,0,0,0,7,7,0,0,0,0,0,0,22,0,0,0,9,25,40,25,24,26,18,8,0,13,21,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 10","St. Joseph County","Indiana",1207,586,424,162,200,224,23,41,21,0,28.4,50900,75400,NA,934,284,17.4,10,NA,39629,30781,NA,NA,NA,NA,NA,NA,936,480,701,0,0,0,0,26,27.2,22.7,32.9,424,259,105,154,165,135,30,79,45,92,43,0,0,135,23,7,0,0,0,0,590,590,573,17,0,282,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,63,74,29,150,34,168,39,7,10,406,390,16,16,0,0,0,0,0,0,0,0,0,0,0,10,63,38,0,28,57,7,6,26,53,18,71,15,6,15,0,63,51,0,0,36,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 15","St. Joseph County","Indiana",351,341,200,141,152,48,110,0,31,0,50,70000,77500,87100,738,255,25,12.6,NA,50395,20109,NA,NA,NA,NA,NA,NA,1043,351,0,0,0,0,0,0,60.2,64.2,55.4,200,62,49,13,138,119,19,43,8,11,0,0,0,119,9,0,10,0,0,0,152,152,143,9,0,166,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,127,21,31,34,59,19,0,0,0,133,117,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,41,10,19,23,18,8,0,9,18,23,10,21,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 15","St. Joseph County","Indiana",798,321,286,35,162,124,0,0,35,0,28.6,59700,74900,92700,827,273,13.4,10,NA,63155,NA,NA,NA,NA,NA,NA,NA,921,648,90,0,0,0,0,60,31.2,28.8,36.1,286,183,115,68,103,51,52,72,51,33,18,9,0,51,52,0,0,0,0,0,497,490,459,31,7,94,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,28,0,17,147,76,37,62,59,74,15,0,0,416,354,62,31,23,0,8,0,20,0,0,20,0,0,0,0,0,7,0,0,7,34,10,15,9,11,22,0,0,39,79,51,9,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 15","St. Joseph County","Indiana",718,421,354,67,125,229,0,0,35,0,50,45600,70200,79900,960,202,26,16.3,NA,NA,13269,NA,NA,NA,NA,NA,NA,679,271,413,0,28,0,0,6,27.7,21.9,49.7,354,160,86,74,194,194,0,106,0,20,34,0,0,194,0,0,0,0,0,0,329,329,311,18,0,224,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7,7,48,0,0,133,60,32,9,26,48,20,12,0,275,266,9,9,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,143,91,17,0,0,0,28,9,6,40,7,6,7,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 15","St. Joseph County","Indiana",798,399,298,101,173,125,39,0,0,0,50,65100,73800,85400,750,298,25,13.4,NA,NA,31136,NA,NA,NA,NA,NA,NA,728,478,79,13,213,0,11,4,31.7,41.8,19.9,298,192,96,96,106,84,22,86,20,46,40,0,0,84,22,0,0,0,0,0,330,330,304,26,0,194,1642600,1327500,315200,NA,315200,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,14,67,8,0,117,55,23,126,15,36,15,7,0,266,246,20,4,16,0,0,0,13,13,0,0,0,0,0,0,14,0,0,0,68,17,22,21,35,11,50,18,9,34,0,13,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 27","St. Joseph County","Indiana",2058,424,284,140,184,100,26,0,0,35,33.3,25400,41200,50000,719,338,31.8,10,NA,32031,37875,NA,NA,NA,NA,NA,NA,754,1452,435,10,0,0,135,26,30.2,31.4,25.7,284,204,119,85,80,75,5,31,48,20,18,34,53,75,5,0,0,0,0,0,516,516,423,93,0,1083,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0,0,18,15,0,0,96,6,12,106,102,155,53,250,163,74,120,51,23,3,0,13,356,292,64,46,5,0,13,0,31,31,0,0,0,0,0,0,0,18,7,7,34,16,11,45,12,26,34,5,34,20,14,25,3,0,0,5,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 105","St. Joseph County","Indiana",1433,444,419,25,328,91,0,0,25,0,16.5,81500,88000,111800,965,356,21.5,10,NA,51944,35893,NA,NA,NA,NA,NA,NA,1008,1279,0,0,0,31,28,95,36.2,37.6,35,419,316,233,83,103,60,43,114,83,26,40,39,14,60,9,34,0,0,0,0,776,776,752,24,0,353,NA,NA,NA,NA,NA,NA,NA,NA,57,0,0,0,0,0,0,0,0,0,8,28,0,37,0,318,87,13,118,70,111,27,0,6,641,573,68,68,0,0,0,0,31,31,0,0,0,0,0,0,0,46,0,6,10,30,0,40,26,17,34,38,21,43,28,84,0,39,9,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 105","St. Joseph County","Indiana",961,529,434,95,287,147,25,0,17,0,39.6,95400,174400,216600,1169,378,19.9,13.9,NA,61429,22604,NA,NA,NA,NA,NA,NA,658,817,21,86,0,0,0,37,39.2,37.5,41.7,434,296,212,84,138,138,0,181,73,25,17,0,0,138,0,0,0,0,0,0,517,517,517,0,0,259,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,0,0,0,0,0,0,8,55,31,9,20,9,159,49,46,60,6,203,68,0,0,499,449,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,20,29,51,56,27,26,15,8,0,42,8,42,70,26,14,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 105","St. Joseph County","Indiana",852,348,348,0,348,0,0,0,0,0,NA,81900,107800,165700,1086,338,22.4,11.6,NA,73317,23875,NA,NA,NA,NA,NA,NA,NA,747,9,0,43,23,9,21,52.2,52,52.4,348,231,211,20,117,108,9,130,30,34,15,19,3,108,9,0,0,0,0,0,460,460,460,0,0,236,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,232,76,18,163,65,53,44,0,0,412,402,10,10,0,0,0,0,4,0,0,0,0,4,0,6,0,0,0,24,16,0,26,30,26,23,0,20,8,9,64,39,41,28,5,13,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 106","St. Joseph County","Indiana",601,375,304,71,212,92,0,0,0,0,23.6,55600,68500,86300,875,292,21.1,10,NA,52566,33731,NA,NA,NA,NA,NA,NA,713,536,8,0,0,0,0,57,44.8,54,42.3,304,149,109,40,155,108,47,109,29,0,11,0,0,108,47,0,0,0,0,0,397,397,340,57,0,164,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,29,9,35,0,161,75,48,42,24,77,10,12,0,314,261,53,30,23,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,20,29,9,0,83,13,29,9,73,0,29,10,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 106","St. Joseph County","Indiana",877,439,377,62,234,143,49,0,0,0,19.6,71400,93300,142800,873,344,12.3,12.4,NA,54962,NA,NA,NA,NA,NA,NA,NA,716,618,13,10,0,8,15,213,42.5,42.8,42,377,275,204,71,102,93,9,142,65,51,11,6,0,93,9,0,0,0,0,0,475,475,455,20,0,253,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8,8,0,15,9,108,10,71,75,64,133,117,18,0,440,419,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,54,15,30,9,0,10,19,9,22,51,56,43,30,12,9,8,NA,NA,NA,NA,NA,NA
