Outcome_Status,Direction,Street_Name,Suffix,Code_Enforcement_Order_Status,Property_Status,Program_Designation,Date_of_Outcome,Council_District,Zip_Code,ShapeSTArea,ShapeSTLength,OBJECTID,County_Tax_ID,State_Parcel_ID,Address_Number,Structures
Repaired & Occupied,,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-25T00:00:00.000Z,6,46613,4780.674255,344.637085,390,018-8040-1616,71-08-14-454-014.000-026,2019,
Demolished,S,Scott,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-10-14T00:00:00.000Z,6,46613,4736.407837,367.561147,391,018-8042-1678,71-08-14-476-022.000-026,2026,House
Demolished,,Catalpa,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Fire Property - 2017,2017-10-03T00:00:00.000Z,6,46613,6348.559235,371.0927634,392,018-8036-1519,71-08-14-451-026.000-026,2021,"House, Garage"
Repaired,W,Indiana,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-11-04T00:00:00.000Z,6,46613,5594.493011,364.4307244,393,018-8058-2311,71-08-14-307-006.000-026,1410,"House, Fence"
Repaired,,Kemble,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-08-27T00:00:00.000Z,6,46613,5347.4599,395.1014279,394,018-8054-2167,71-08-14-331-021.000-026,1609,
Repaired,E,Donald,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-10T00:00:00.000Z,3,46613,4105.361969,321.1153117,395,018-7038-1537,71-08-13-377-026.000-026,129,"House, Fence"
Repaired,E,Bowman,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-12-04T00:00:00.000Z,3,46613,4169.677612,320.8145855,396,018-7038-1528,71-08-13-377-012.000-026,132,
Repaired,E,Milton,ST,Demo Affirmed,Bid Awarded - Demolition,Bid Opening - Demo - Dec 12 2017,2014-05-13T00:00:00.000Z,,46613,2994.280975,221.3915225,397,018-7035-1369,71-08-13-334-033.000-026,314,"House, Fence, Wall"
Repaired,,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-11-04T00:00:00.000Z,6,46613,4769.203156,343.2552352,398,018-8040-1612,71-08-14-454-010.000-026,2003,"House, Garage, Fence"
Repaired,S,Taylor,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-03-24T00:00:00.000Z,6,46613,8462.478973,418.1796921,399,018-8043-1707,71-08-14-477-012.000-026,2004,"House, Garage"
Demolished,,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-02-06T00:00:00.000Z,6,46613,4690.600861,330.6473046,400,018-8031-1350,71-08-14-410-017.000-026,1820,House
Repaired,S,William,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-08-24T00:00:00.000Z,6,46613,5252.813538,371.8101721,401,018-8029-1219,71-08-14-432-016.000-026,1820,
Demolished,S,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-02-06T00:00:00.000Z,6,46613,5209.36438,351.4808165,402,018-8040-1618,71-08-14-454-016.000-026,2025,House
,W,Indiana,AVE,Demo Hold - Rehab in Progress,Hold,,,,46613,3683.753601,273.8229254,403,018-8058-2299,71-08-14-304-001.000-026,1329,Commercial
Demolished,W,Indiana,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-08-31T00:00:00.000Z,6,46613,3802.705597,276.0738486,404,018-8058-2300,71-08-14-304-002.000-026,1325,House
Demolished,,Kemble,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-10-14T00:00:00.000Z,6,46613,6681.913635,404.300979,405,018-8034-1463,71-08-14-405-009.000-026,1802,"House, Garage"
Repaired,,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-11-05T00:00:00.000Z,6,46613,4439.518463,326.3569879,406,018-8031-1341,71-08-14-410-008.000-026,1724,"House, Fence"
,S,Fellows,ST,Repair Order,Repairs Pending,,,3,46613,3037.854095,240.4557918,407,018-7027-1081,71-08-13-256-004.000-026,1512,House
Repaired,E,Haney,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2017-01-03T00:00:00.000Z,3,46618,5276.592163,378.8946849,408,018-7030-1159,71-08-13-257-007.000-026,618,House
Demolished,W,Indiana,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-12-12T00:00:00.000Z,6,46613,5975.137909,377.4806053,409,018-8059-2341,71-08-14-329-004.000-026,1214,"House, Garage"
Demolished,W,Indiana,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-08-31T00:00:00.000Z,6,46613,5846.31839,375.7428468,410,018-8059-2344,71-08-14-329-007.000-026,1202,"House, Garage, Fence"
Repaired,,Fellows,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-04-29T00:00:00.000Z,3,46613,3351.262695,249.9968554,411,018-7046-1773,71-08-13-401-009.000-026,1614,House
Repaired,S,Kentucky,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-12-31T00:00:00.000Z,6,46619,5593.072571,311.6575678,412,018-4107-3912,71-08-09-480-017.000-026,811,
Repaired & Occupied,E,Bowman,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-25T00:00:00.000Z,3,46613,4349.263794,323.429275,413,018-7036-1418,71-08-13-384-019.000-026,403,
,W,Calvert,ST,Repair Expired - CP - Repair Hearing No Show,,,,,46614,5952.765228,403.0391823,414,018-8042-1660,71-08-14-476-004.000-026,614,Commercial
Demolished,E,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-27T00:00:00.000Z,3,46613,5133.718842,349.8905067,415,018-7043-1682,71-08-13-332-005.000-026,110,Commercial Building
Demolished,E,Bowman,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-13T00:00:00.000Z,3,46613,4201.55481,322.7851965,416,018-7036-1414,71-08-13-384-015.000-026,309,"House
 "
,E,Calvert,ST,Repair Order,Repairs Pending,,,3,46613,3143.883209,230.669383,417,018-7034-1353,71-08-13-376-011.000-026,134,"House, Garage"
Repaired,,Prairie,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,CDC Partner House,2015-06-17T00:00:00.000Z,6,46613,7567.130219,412.2238156,418,018-8060-2388,71-08-14-351-003.000-026,1902,
Demolished,,Carroll,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-20T00:00:00.000Z,3,46613,3253.081421,254.9506153,419,018-7045-1756,71-08-13-334-018.000-026,1816,House
Demolished,E,Calvert,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-22T00:00:00.000Z,3,46613,4249.332458,321.3004397,420,018-7034-1350,71-08-13-380-003.000-026,212,
Demolished,E,Calvert,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-10-02T00:00:00.000Z,3,46613,4706.228241,328.306333,421,018-7034-1347,71-08-13-380-006.000-026,220,House
Demolished,,Calvert,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-02-27T00:00:00.000Z,3,46613,5249.313538,336.3532384,422,018-7034-1342,71-08-13-380-010.000-026,234,"House, Fence"
Demolished,E,Calvert,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-13T00:00:00.000Z,3,46613,4331.239838,321.1991002,423,018-7035-1381,71-08-13-384-004.000-026,310,House
,W,Calvert,ST,Repair Deadline Expired,,,,3,46613,4797.935791,324.0358265,424,018-8029-1236,71-08-14-431-037.000-026,513,"House, Garage, Fence"
Demolished,E,Calvert,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-13T00:00:00.000Z,3,46613,3224.922485,229.0662436,425,018-7035-1373,71-08-13-334-031.000-026,305,"House, Fence, Garage"
Repaired,S,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-02T00:00:00.000Z,6,46613,4620.356842,334.0190924,426,018-8085-3272,71-08-15-435-026.000-026,1821,House
Demolished,E,Calvert,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-10-24T00:00:00.000Z,3,46613,2598.216522,209.3905747,427,018-7034-1306,71-08-13-333-048.000-026,235,House
Demolished,S,Scott,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-10-24T00:00:00.000Z,6,46613,5404.569244,378.832327,428,018-8030-1255,71-08-14-430-011.000-026,1802,"House, Fence
 "
Demolished,E,Milton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-20T00:00:00.000Z,3,46613,4845.020874,344.3757582,429,018-7045-1752,71-08-13-334-023.000-026,317,"House, Fences"
Repaired,,Kemble,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-10-04T00:00:00.000Z,6,46613,6902.337097,407.0355098,430,018-8034-1464,71-08-14-405-010.000-026,1806,House
Demolished,,Magnolia,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-02-27T00:00:00.000Z,6,46613,9493.564209,427.0545876,431,018-8056-2246,71-08-14-310-010.000-026,1824,"House, Garage, Fence"
Demolished,,Nash,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-04-03T00:00:00.000Z,6,46613,5304.123077,336.075717,432,018-8076-2916,71-08-15-439-009.000-026,1810,"House, Garage"
Demolished,E,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-10-02T00:00:00.000Z,3,46613,4598.738953,315.6466585,433,018-7048-1871,71-08-13-451-014.000-026,610,House
Demolished,E,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-03-15T00:00:00.000Z,3,46613,4561.775604,314.86172,434,018-7048-1869,71-08-13-451-016.000-026,618,"House, Garage"
Repaired,,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-11-04T00:00:00.000Z,6,46613,4517.803528,327.4853921,435,018-8031-1336,71-08-14-410-003.000-026,1708,House
Demolished,S,Scott,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-16T00:00:00.000Z,6,46613,4468.700256,327.3651645,436,018-8031-1365,71-08-14-410-021.000-026,1707,"House, Garage, Fence"
,,High,ST,Repair Order,Repairs Pending,,,3,46613,4852.375732,281.7721416,437,018-7057-2109,71-08-13-428-018.000-026,1814,House
Demolished,,Milton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-09-05T00:00:00.000Z,3,46613,4515.09729,314.5792067,438,018-7057-2127,71-08-13-428-023.000-026,819,
Repaired,,Douglas,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-07-01T00:00:00.000Z,6,46613,5724.829346,350.2102866,439,018-8070-2688,71-08-14-334-007.000-026,1802,House
Repaired,S,William,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-17T00:00:00.000Z,6,46613,5393.224609,374.0244,440,018-8029-1217,71-08-14-432-014.000-026,1814,House
Demolished,,Columbia,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-02-06T00:00:00.000Z,3,46613,3212.441528,253.1926251,441,018-7045-1751,71-08-13-334-028.000-026,1824,"House, Fence"
,,Swygart,AVE,Repair Order,Repairs Pending,,,,46613,6244.069672,381.9727117,442,018-8057-2279,71-08-14-312-004.000-026,1710,"House, Garage"
Demolished,S,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2016,2016-10-24T00:00:00.000Z,6,46613,4422.218597,326.0374644,443,018-8031-1340,71-08-14-410-007.000-026,1720,"House, Garage, Fence"
Demolished,E,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-29T00:00:00.000Z,3,46613,4756.709045,318.3035858,444,018-7048-1870,71-08-13-451-015.000-026,612,
Repaired,,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-08-12T00:00:00.000Z,6,46619,4526.318268,327.9675423,445,018-8031-1347,71-08-14-410-014.000-026,1812,
Repaired,S,Carroll,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2017-08-28T00:00:00.000Z,,46613,3209.557648,254.2531882,446,018-7045-1757,71-08-13-334-019.000-026,1818,"House, Garage"
,,Kemble,AVE,Repair Expired - Repair Hearing No Show,,,,,46613,6743.768036,405.1287808,447,018-8034-1465,71-08-14-405-011.000-026,1810,"House, Garage, Shed, Fence"
,S,Taylor,ST,Demo Affirmed,Emergency Demo,,,6,46613,5443.410583,377.6788846,448,018-8029-1175,71-08-14-431-007.000-026,1720,"House, Garage"
Repaired,,Catalpa,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-05-14T00:00:00.000Z,6,46613,6711.032837,410.8685731,449,018-8034-1473,71-08-14-405-019.000-026,1719,
Demolished,,Nash,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-04-01T00:00:00.000Z,6,46613,4644.273346,325.0373491,450,018-8076-2908,71-08-15-439-001.000-026,1702,"House, Garage, Fence"
Demolished,,Prairie,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-11-28T00:00:00.000Z,6,46613,7346.274414,417.8497183,451,018-8069-2640,71-08-14-332-004.000-026,1728,"House, Garage"
,S,Michigan,,Demo Affirmed w/CP,Bid Awarded - Demolition,Bid Opening - Demo - Dec 12 2017,,,46613,3407.279175,263.803318,452,018-7043-1678,71-08-13-332-001.000-026,1804,"House, Garage, Fence"
Repaired,S,Walnut,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2017-05-02T00:00:00.000Z,,46613,5660.287445,363.0092562,453,018-8055-2206,71-08-14-306-021.000-026,1705,"House, Garage, Fence, Deck"
Demolished,E,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-10-24T00:00:00.000Z,3,46613,6044.097412,372.8554483,454,018-7048-1859,71-08-13-404-018.000-026,513,House
Repaired,E,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-11-29T00:00:00.000Z,3,46613,6287.189026,376.0401011,455,018-7048-1856,71-08-13-404-021.000-026,525,House
Repaired,,Prairie,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-10-10T00:00:00.000Z,6,46623,4181.856445,334.2372948,456,018-8059-2376,71-08-14-329-025.000-026,1733,House
Demolished,E,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-10-24T00:00:00.000Z,3,46613,3948.067291,278.0781683,457,018-7045-1737,71-08-13-334-006.000-026,402,"House, Garage"
Demolished,,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-06-13T00:00:00.000Z,3,46613,4408.000946,357.6902503,458,018-7045-1736,71-08-13-334-007.000-026,406,
Demolished,E,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-13T00:00:00.000Z,3,46613,5546.165985,357.1209533,459,018-7045-1735,71-08-13-334-008.000-026,410,"House, Garage, Fence"
,E,Haney,AVE,Repair Hearing Scheduled,,,,3,46613,5997.101318,387.787829,460,018-7015-0613,71-08-13-254-019.000-026,611,House
Demolished,,Dunham,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-08-14T00:00:00.000Z,6,46619,6327.751404,359.0951204,461,018-3067-2567,71-08-11-376-026.000-026,1215,House
Demolished,E,Indiana,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,BEP,2015-12-11T00:00:00.000Z,3,46613,5414.629211,346.5709355,462,018-7053-1997,71-08-13-426-004.000-026,814,"House, Fence"
Repaired,S,Edison,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-12-04T00:00:00.000Z,6,46619,5673.207397,345.8810903,463,018-4090-3329,71-08-09-377-014.000-026,754,"House, Garage"
Repaired,S,Philippa,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-10-01T00:00:00.000Z,6,46619,4377.151276,299.7386353,464,018-4023-0797,71-08-10-405-023.000-026,605,"House, Fence"
,S,St. Joseph,ST,Repair Order,Repairs Pending,,,2,46601,8457.211182,433.0956263,465,018-3021-0761,71-08-12-331-003.000-026,614,Multi-Unit
Demolished,,Pulaski,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-10-17T00:00:00.000Z,6,46619,4931.069366,331.4315877,466,018-4015-0530,71-08-10-434-011.000-026,606,"House, Garage, Fence"
Repaired,W,Indiana,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-02-03T00:00:00.000Z,6,46613,5405.084991,357.6060397,467,018-8027-1110,71-08-14-427-002.000-026,526,House
,S,William,ST,Repair Expired - CP - Repair Hearing No Show,,,,,46613,12266.92041,467.363867,468,018-8029-1187,71-08-14-431-018.000-026,1703,Mutli
Repaired,E,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-01-28T00:00:00.000Z,3,46613,5731.72699,379.4296414,469,018-7053-2024,71-08-13-427-022.000-026,901,House
Repaired,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-01-19T00:00:00.000Z,3,46613,7134.196411,413.9209002,470,018-7046-1780,71-08-13-401-016.000-026,519,House
Demolished,,Swygart,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-27T00:00:00.000Z,6,46613,5948.112183,370.5614582,471,018-8051-2055,71-08-14-155-008.000-026,1534,"House, Shed"
Repaired,,McPherson,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2017-09-12T00:00:00.000Z,6,46613,4583.784027,302.2724024,472,018-8052-2107,71-08-14-178-017.000-026,1533,
Demolished,E,Dayton,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-10-24T00:00:00.000Z,3,46613,6209.058167,385.7090953,473,018-7054-2041,71-08-13-427-024.000-026,909,House
Repaired & Occupied,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-10-29T00:00:00.000Z,3,46613,5462.588928,395.032526,474,018-7033-1304,71-08-13-331-001.000-026,302,"House, Garage, Fence"
Demolished,,Kemble,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-07-25T00:00:00.000Z,6,46613,5294.353333,392.8385015,475,018-8054-2172,71-08-14-331-026.000-026,1629,
Demolished,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-10-31T00:00:00.000Z,3,46613,4348.958679,321.7716916,476,018-7033-1293,71-08-13-331-011.000-026,414,"House, Garage, Fence"
Repaired,,Swygart,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-12-05T00:00:00.000Z,6,46613,6067.727234,380.637583,477,018-8057-2264,71-08-14-311-012.000-026,1701,
Demolished,S,Fellows,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-02-27T00:00:00.000Z,3,46613,2851.921967,231.0427277,478,018-7048-1861,71-08-13-404-014.000-026,1718,"House, Accessory"
Demolished,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-13T00:00:00.000Z,3,46613,6131.574493,405.3087275,479,018-7047-1837,71-08-13-405-007.000-026,620,"House, Garage"
Demolished,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-06-20T00:00:00.000Z,3,46613,5889.662933,382.6394935,480,018-7054-2034,71-08-13-427-008.000-026,914,
Demolished,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-16T00:00:00.000Z,3,46613,7067.857422,414.9459051,481,018-7047-1833,71-08-13-403-020.000-026,717,"House
 "
Demolished,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-29T00:00:00.000Z,3,46613,6821.375427,412.7025456,482,018-7047-1836,71-08-13-403-023.000-026,729,
,,Catalpa,ST,Repair Order,Repairs Pending,,,6,46613,4733.518646,324.0043993,483,018-8032-1414,71-08-14-402-011.000-026,1628,House
Demolished,,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-16T00:00:00.000Z,6,46613,4700.232727,332.4720718,484,018-8031-1328,71-08-14-404-008.000-026,1618,House
Repaired,S,Scott,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-03-18T00:00:00.000Z,6,46613,4464.542786,325.774516,485,018-8031-1356,71-08-14-404-014.000-026,1617,"House, Garage"
Repaired,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-10-26T00:00:00.000Z,3,46613,6359.229675,408.4320695,486,018-7047-1839,71-08-13-405-009.000-026,630,House
Repaired,S,Arnold,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-02T00:00:00.000Z,6,46613,3632.287689,261.2939146,487,018-8059-2356,71-08-14-330-012.000-026,1614,House
Demolished,S,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-16T00:00:00.000Z,6,46619,10111.41605,420.5386558,488,018-4002-0056,71-08-10-482-001.000-026,820,House
Repaired & Occupied,,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-17T00:00:00.000Z,6,46613,4773.425598,344.2248523,489,018-8031-1292,71-08-14-403-015.000-026,1613,
,,Kendall,ST,Executive Agreement,Repairs Pending,,,,46613,4345.39444,327.1447828,490,018-8031-1327,71-08-14-404-007.000-026,1614,House
Repaired,,High,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-10-21T00:00:00.000Z,3,46613,5018.231598,286.9352148,491,018-7053-2001,71-08-13-426-020.000-026,1630,House
Repaired,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-07-30T00:00:00.000Z,3,46613,4870.236115,283.2876819,492,018-7053-2002,71-08-13-426-021.000-026,807,
Repaired,,Carroll,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-17T00:00:00.000Z,3,46619,3317.579651,251.3887571,493,018-7028-1108,71-08-13-182-003.000-026,1508,
Repaired,W,Indiana,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-18T00:00:00.000Z,3,46613,5197.404694,354.0782331,494,018-8027-1109,71-08-14-427-001.000-026,530,"Multi Unit, Fence"
Demolished,E,Indiana,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-29T00:00:00.000Z,3,46618,6361.907928,405.9868973,495,018-7047-1818,71-08-13-403-007.000-026,718,
,W,Indiana,AVE,Demo Affirmed,Demo Process: Utility Retirements,,,3,46613,8653.651947,373.4330696,496,018-8051-2088,71-08-14-326-005.000-026,1209,"House, Fence"
,,Carroll,ST,Repair Order,Repairs Pending,,,,46613,3366.249969,244.8113275,497,018-7024-0933,71-08-13-181-015.000-026,1511,House
Repaired,S,Taylor,ST,Hearing Unnecessary,Continued Indefinitely,,2014-08-26T00:00:00.000Z,6,46613,6126.744598,385.6318922,498,018-8028-1149,71-08-14-427-011.000-026,1620,"House, Shed, Fence"
Repaired,W,Indiana,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-17T00:00:00.000Z,6,46613,4932.004639,324.5060376,499,018-8055-217701,71-08-14-305-001.000-026,1610,"House, Garage"
,,Prairie,AVE,Demo Affirmed,Demo Process: Utility Retirements,,,,46613,4543.226135,390.3450591,500,018-8054-2149,71-08-14-331-006.000-026,1618,House
Demolished,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Dec 12 2017,2018-02-21T00:00:00.000Z,,46613,6399.675079,408.358664,501,018-7046-1806,71-08-13-405-006.000-026,618,"House, Fence, Wall"
Demolished,S,William,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-02-27T00:00:00.000Z,6,46613,6166.527618,389.0528596,502,018-8028-1137,71-08-14-428-005.000-026,1626,"House, Fence"
Demolished,,Kendall,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-18T00:00:00.000Z,6,46613,4534.49176,329.7903067,503,018-8031-1329,71-08-14-404-009.000-026,1620,"House, Garage"
Demolished,E,Dubail,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-16T00:00:00.000Z,3,46613,2490.170288,216.1419424,504,018-7033-128701,71-08-13-328-019.000-026,317,House
Demolished,,Marietta,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-20T00:00:00.000Z,3,46613,3156.074707,234.71469,505,018-7047-1829,71-08-13-403-015.000-026,1618,House
Repaired,,Garfield,CT,In Compliance: Outcome Complete,In Compliance: Outcome Complete,CDC Partner House,2017-03-22T00:00:00.000Z,2,46601,3179.56073,243.3499454,506,018-3050-1927,71-08-11-254-018.000-026,115,House
Demolished,,Chestnut,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-10-14T00:00:00.000Z,2,46625,5838.328186,338.50431,507,018-3075-2994,71-08-11-152-006.000-026,118,"House, Garage"
Repaired,,Haney,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-04-28T00:00:00.000Z,3,46613,3521.636566,256.0492912,508,018-7016-0662,71-08-13-255-017.000-026,701,
Repaired,S,Grant,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-12-22T00:00:00.000Z,6,46619,4963.450958,322.2075568,509,018-4017-0584,71-08-10-408-016.000-026,505,"House, Fence"
Repaired & Occupied,,Pulaski,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-08-18T00:00:00.000Z,6,46619,5524.048096,343.4274353,510,018-4001-0016,71-08-10-483-019.000-026,827,
Repaired,S,Falcon,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-14T00:00:00.000Z,6,46619,5052.802612,335.3960215,511,018-4075-2746,71-08-09-459-017.000-026,829,
Demolished,S,Lake,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-06T00:00:00.000Z,6,46619,5299.553223,341.0530972,512,018-4074-2719,71-08-09-480-008.000-026,830,"House, Fence
 "
Demolished,S,Arnold,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-08-31T00:00:00.000Z,6,46619,1955.792236,179.5807113,513,018-3067-257802,71-08-11-377-017.000-026,811,House
Deconstructed,,Dunham,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Deconstruction,2014-11-13T00:00:00.000Z,6,46619,5585.38736,326.1335653,514,018-4101-3722,71-08-09-380-002.000-026,3920,House
